File	FileName
ce.data.20.ServProvTradeWWCurr	"Unseasonal, Service-providing, Trade, Women, Production Workers, 1990-Present"
le.data.0.Current	Current Data
le.data.1.AllData	All Data
lu.data.0.Current	Current Data
lu.data.1.AllData	All Data
pc.data.01.aggregates	Aggregates
pc.data.61.EducationalServices	Educational Services
pc.data.81.OtherServices	Other Serivces
sm.data.1.AllData	All data
sm.data.59.PrivateSevcProviding.Current	Current Data
